银行客户流失数据挖掘实战 - 综合结果报告

=== 任务一：流失预测模型评估 ===
,precision,recall,f1-score,support
留存 (0),0.871,0.968,0.917,1593.0
流失 (1),0.778,0.44,0.562,407.0
accuracy,0.86,0.86,0.86,0.86
macro avg,0.825,0.704,0.74,2000.0
weighted avg,0.852,0.86,0.845,2000.0

=== 任务二：影响客户流失的核心特征排行 (Top 10) ===
特征,重要性权重
Age,0.248
Balance,0.143
EstimatedSalary,0.137
CreditScore,0.135
NumOfProducts,0.133
Tenure,0.08
IsActiveMember,0.037
Geography_Germany,0.034
Gender_Male,0.02
HasCrCard,0.019

=== 任务三：3大用户画像群业务特征统计 ===
User_Persona,Age,Balance,EstimatedSalary,用户数
A群: 低余额年轻客群,56.705,89330.098,97602.468,1670
B群: 高余额高龄客群 (流失高危),35.086,123031.716,101438.578,4939
C群: 高薪资稳健客群,35.751,2366.259,99351.561,3391
